"estados","cod","num_ent","totest","tothom","totmuj","hab","internet","tv","pc","totinf","infhom","infmuj","infedad","diab","hip","obe","ind","mig"
"Aguascalientes","Ags",1,1425607,"728924","696683",375798,873211,1370521,655451,66879,31196,35683,39.1229234886885,6313,9837,8863,125,49
"Baja California","BC",2,3769020,"1868431","1900589",1059756,2640624,3535551,1902298,106118,49541,56577,41.2087958687499,15400,23879,19706,648,135
"Baja California Sur","BCS",3,798447,"392568","405879",226838,490786,707230,359528,65361,32182,33179,38.6247762427135,5471,8251,9208,136,187
"Campeche","Camp",4,928363,"471424","456939",251960,410472,814187,315968,26762,14308,12454,41.4245198415664,3115,4241,4706,490,18
"Coahuila de Zaragoza","Coah",5,3146771,"1583102","1563669",866309,1818596,3022302,1287895,137484,64319,73165,41.0812239969742,14307,19055,12955,252,43
"Colima","Col",6,731391,"370769","360622",216624,423664,661901,288640,20472,9788,10684,40.3305978898007,2523,3397,3825,57,13
"Chiapas","Chis",7,5543828,"2837881","2705947",1325555,1197975,4250638,873177,52379,25547,26832,40.6497833101052,5925,7358,6093,2382,260
"Chihuahua","Chih",8,3741869,"1888047","1853822",1093764,2081747,3419261,1563917,73701,35571,38130,43.2398746285668,10136,15106,10345,675,112
"Ciudad de México","CDMX",9,9209944,"4805017","4404927",2604348,6877715,8738106,5443030,1414821,669487,745334,40.5823365641307,118243,159120,139640,5404,1514
"Durango","Dgo",10,1832650,"927784","904866",475123,795900,1693446,628112,64734,29534,35200,40.8768653257948,5688,8293,7203,252,50
"Guanajuato","Gto",11,6166934,"3170480","2996454",1548554,2980965,5839790,2145078,228411,105633,122778,39.674499039013,24371,33164,32459,293,125
"Guerrero","Gro",12,3540685,"1840073","1700612",879603,1103266,2811175,707873,60028,29237,30791,43.0722162990604,8300,10185,8283,1336,46
"Hidalgo","Hgo",13,3082841,"1601462","1481379",829098,1196352,2734042,939935,59584,29779,29805,43.1761546723953,8513,10541,10380,2060,30
"Jalisco","Jal",14,8348151,"4249696","4098455",2216304,5174903,7926797,3725917,158025,75458,82567,42.9199367188736,21911,30374,24146,570,143
"México","Mex",15,16992418,"8741123","8251295",4303449,9477642,15941076,6851860,507946,257329,250617,41.5751280647943,50705,63137,58471,3030,117
"Michoacán de Ocampo","Mich",16,4748846,"2442505","2306341",1241899,2078486,4363121,1384499,90902,43706,47196,41.9627730963015,11126,15380,14697,1491,107
"Morelos","Mor",17,1971520,"1020673","950847",536176,1077405,1784402,716975,53071,25097,27974,42.407114996891,6344,7931,7448,468,33
"Nayarit","Nay",18,1235456,"623178","612278",352739,575583,1102559,427356,24174,11093,13081,42.0739223959626,2966,4354,3701,338,15
"Nuevo León","NL",19,5784442,"2893492","2890950",1545418,4028199,5523980,2770226,224478,109263,115215,40.815585491674,26450,32159,28326,310,197
"Oaxaca","Oax",20,4132148,"2157305","1974843",1111174,1220301,3045170,847211,54936,28055,26881,41.8519550021844,5672,7414,8300,2963,15
"Puebla","Pue",21,6583278,"3423163","3160115",1657014,2627179,5763335,1921329,143711,72656,71055,42.0294688645963,16557,19489,18298,1325,295
"Querétaro","Qro",22,2368467,"1211647","1156820",633960,1505158,2180318,1120836,91330,42450,48880,39.9684441037994,9245,12738,10764,255,132
"Quintana Roo","Q. Roo",23,1857985,"921206","936779",512195,1021421,1584534,684307,40850,20426,20424,39.6355446756426,5109,6725,7209,1217,114
"San Luis Potosí","SLP",24,2822255,"1449804","1372451",742012,1239995,2501860,947678,115011,54875,60136,40.9385797880203,13481,18572,17969,3046,171
"Sinaloa","Sin",25,3026943,"1532128","1494815",837807,1543717,2784100,1143244,69440,32201,37239,43.2205213133641,8918,14260,12071,250,33
"Sonora","Son",26,2944840,"1472643","1472197",836235,1750686,2685474,1257006,109065,48910,60155,43.1109063402558,13779,21996,19328,659,61
"Tabasco","Tab",27,2402598,"1228927","1173671",656468,822553,2108520,609757,147373,71409,75964,40.6463870586878,16453,23390,20214,1436,293
"Tamaulipas","Tamps",28,3527735,"1791595","1736140",1014397,1914795,3286391,1257006,116718,57302,59416,42.3225723538786,16113,21612,17184,242,151
"Tlaxcala","Tlax",29,1342977,"693083","649894",326652,514196,1217022,376354,44715,22122,22593,41.9013530135301,4884,5490,5045,169,13
"Veracruz de Ignacio de la Llave","Ver",30,8062579,"4190805","3871774",2286718,3262443,7066744,2100415,99741,51183,48558,43.5156455219017,15944,19953,16334,833,56
"Yucatán","Yuc",31,2320898,"1180619","1140279",633198,1186997,2097476,862568,77275,38897,38378,39.667525072792,6566,10166,9550,6998,55
"Zacatecas","Zac",32,1622138,"831080","791058",433574,758296,1539910,515673,49814,24166,25648,41.1674228128639,5547,8319,7145,142,51
